PRODUCT_ID,FILE_NAME_SPECIFICATION,RATIONALE_DESC,MAP_SCALE,SOLAR_LONGITUDE,C1_LAT,C1_LON,C2_LAT,C2_LON,C3_LAT,C3_LON,C4_LAT,C4_LON,C1_X,C1_Y,C2_X,C2_Y,C3_X,C3_Y,C4_X,C4_Y,CTR_LON,CTR_LAT,CTR_X,CTR_Y,CLUSTER,MY,AREA
ESP_018928_2640_RED,RDR/ESP/ORB_018900_018999/ESP_018928_2640/ESP_018928_2640_RED.JP2,Steep north polar boundary scarp                                           ,0.25,130.886,83.7673,238.161,83.7057,237.299,83.8195,236.597,83.8818,237.464,-312313.66,193937.11,-312424.34,200580.56,-304328.69,200690.66,-304226.74,194082.65,237.38025,83.793575,-308323.3575,197322.745,36,29,53624258
ESP_019034_2640_RED,RDR/ESP/ORB_019000_019099/ESP_019034_2640/ESP_019034_2640_RED.JP2,Steep north polar boundary scarp                                           ,0.25,134.894,83.7435,238.008,83.7072,237.071,83.8349,236.634,83.872,237.591,-312987.64,195515.63,-311549.28,201774.03,-303698.14,199993.55,-305145.11,193718.22,237.326,83.7894,-308345.0425,197750.35749999998,36,29,51755903
ESP_027631_2640_RED,RDR/ESP/ORB_027600_027699/ESP_027631_2640/ESP_027631_2640_RED.JP2,Monitor for frost avalanches on steep scarps                               ,0.25,126.653,83.6828,238.352,83.6277,237.586,83.8998,235.896,83.9564,236.669,-317209.92,195515.36,-317317.13,201484.36,-297921.32,201738.23,-297821.42,195862.85,237.12574999999998,83.791675,-307567.4475,198650.19999999998,36,30,114875163
ESP_036809_2640_RED,RDR/ESP/ORB_036800_036899/ESP_036809_2640/ESP_036809_2640_RED.JP2,Steep north polar peripheral scarp                                         ,0.25,140.349,83.6956,238.067,83.6598,237.247,83.9099,236.285,83.9474,237.14,-315591.42,196690.64,-314523.78,202331.78,-298787.65,199379.63,-299868.15,193696.58,237.18475,83.803175,-307192.75,198024.6575,36,31,92256378
ESP_053292_2640_RED,RDR/ESP/ORB_053200_053299/ESP_053292_2640/ESP_053292_2640_RED.JP2,Active north polar layered deposit scarp avalanche monitoring              ,0.25,98.427,83.7597,237.706,83.7193,236.897,83.8414,236.365,83.8825,237.188,-311143.41,196651.1,-310336.01,202328.65,-302436.02,201204.42,-303253.53,195523.47,237.039,83.800725,-306792.2425,198926.91,36,33,45752077
ESP_054149_2640_RED,RDR/ESP/ORB_054100_054199/ESP_054149_2640/ESP_054149_2640_RED.JP2,Active north polar layered deposit scarp avalanche monitoring              ,0.25,129.23,83.7368,237.84,83.6932,237.045,83.8609,236.246,83.9056,237.056,-312748.24,196643.29,-312152.01,202365.5,-301059.36,201191.84,-301656.71,195479.25,237.04675,83.799125,-306904.08,198919.97,36,33,64115473
ESP_080525_2640_RED,RDR/ESP/ORB_080500_080599/ESP_080525_2640/ESP_080525_2640_RED.JP2,Active north polar layered deposit scarp avalanche monitoring              ,0.25,126.41,83.7354,237.828,83.6934,237.027,83.8625,236.253,83.9056,237.071,-312777.09,196752.84,-312078.5,202457.13,-301005.32,201102.53,-301707.88,195400.27,237.04475,83.79922499999999,-306892.1975,198928.1925,36,36,64090357
ESP_089821_2640_RED,RDR/ESP/ORB_089800_089899/ESP_089821_2640/ESP_089821_2640_RED.JP2,Avalanche scarp                                                            ,0.25,144.695,83.7309,237.84,83.6944,237.018,83.844,236.427,83.8815,237.269,-313043.44,196828.9,-311997.11,202473.97,-302525.55,200792.06,-303579.35,195126.51,237.1385,83.7877,-307786.36250000005,198805.36,36,37,55320352
ESP_089848_2640_RED,RDR/ESP/ORB_089800_089899/ESP_089848_2640/ESP_089848_2640_RED.JP2,Avalanche scarp                                                            ,0.25,145.755,83.696,237.724,83.6853,236.707,83.8594,236.505,83.8704,237.551,-314388.3,198563.76,-311343.08,204459.73,-302039.67,199877.8,-305089.58,193981.93,237.12174999999996,83.777775,-308215.15750000003,199220.805,36,37,68801912
